experience,age,projects_completed,hours_per_week,job_role,education_level,location,salary
16,43,15,51,AI Specialist,PhD,Urban,78878
7,33,42,34,ML Engineer,PhD,Urban,64088
10,37,36,50,Analyst,PhD,Rural,74454
1,27,17,27,DL Engineer,Bachelor's,Suburban,54040
3,30,22,47,AI Specialist,Bachelor's,Suburban,42246
10,36,13,39,Data Scientist,PhD,Rural,72475
13,37,45,28,Analyst,Bachelor's,Urban,78561
16,45,48,30,DL Engineer,Master's,Urban,86232
15,44,2,41,DL Engineer,Bachelor's,Urban,64545
6,32,25,57,Data Scientist,Master's,Suburban,60683
1,28,10,25,Analyst,Master's,Urban,39835
10,34,46,34,Analyst,PhD,Urban,69272
13,42,4,29,DL Engineer,Bachelor's,Rural,69851
3,31,23,59,Analyst,Bachelor's,Suburban,56938
10,37,43,55,Analyst,Master's,Rural,74048
18,47,28,44,Analyst,Master's,Suburban,83512
17,45,28,48,Analyst,PhD,Urban,71264
9,37,31,53,ML Engineer,PhD,Rural,71949
7,31,23,48,Data Scientist,Bachelor's,Suburban,63761
3,30,39,32,ML Engineer,PhD,Urban,44920
3,31,25,37,AI Specialist,PhD,Suburban,56713
6,29,10,55,DL Engineer,Bachelor's,Suburban,52111
11,38,35,52,ML Engineer,Bachelor's,Urban,68015
17,39,24,52,ML Engineer,PhD,Urban,72167
18,41,21,25,Analyst,Bachelor's,Urban,73563
8,36,19,26,AI Specialist,PhD,Urban,49434
4,30,35,43,Analyst,PhD,Rural,46101
3,27,17,56,ML Engineer,PhD,Rural,45855
13,36,44,44,Analyst,Master's,Rural,77973
6,33,41,34,Analyst,PhD,Urban,62496
18,43,4,48,Analyst,Master's,Urban,83872
15,44,30,53,Analyst,Bachelor's,Rural,66086
11,35,11,33,Analyst,Bachelor's,Urban,68958
6,33,9,53,DL Engineer,Master's,Suburban,49575
9,38,37,47,Data Scientist,Master's,Urban,66287
4,29,25,24,DL Engineer,Master's,Urban,45908
7,36,8,54,DL Engineer,PhD,Suburban,53342
12,38,14,56,Data Scientist,Bachelor's,Suburban,77703
12,35,19,36,ML Engineer,PhD,Rural,73009
4,30,7,38,DL Engineer,PhD,Rural,59206
18,45,38,44,Analyst,Bachelor's,Suburban,84935
2,29,42,51,Data Scientist,PhD,Suburban,54161
7,33,36,39,AI Specialist,Bachelor's,Suburban,60325
1,24,29,24,ML Engineer,PhD,Rural,48549
6,28,0,41,Data Scientist,Master's,Urban,56146
3,26,28,24,Data Scientist,PhD,Rural,56093
19,48,10,22,Data Scientist,Bachelor's,Urban,70464
11,37,49,48,Analyst,PhD,Rural,76223
1,23,29,35,AI Specialist,Bachelor's,Suburban,39395
3,29,4,25,Analyst,PhD,Suburban,47845
19,44,32,26,Analyst,Bachelor's,Suburban,85482
19,46,44,47,Data Scientist,Master's,Suburban,88114
4,30,7,51,Data Scientist,PhD,Urban,60587
12,38,1,58,DL Engineer,Master's,Urban,60536
7,32,18,59,DL Engineer,Bachelor's,Suburban,55446
16,39,39,22,Data Scientist,Master's,Urban,80979
8,32,42,33,Analyst,PhD,Urban,64719
16,44,42,41,Analyst,Bachelor's,Urban,86385
14,39,27,52,Analyst,Bachelor's,Urban,74428
15,40,44,22,ML Engineer,PhD,Rural,78366
7,32,32,23,DL Engineer,PhD,Suburban,66322
6,29,47,30,DL Engineer,Bachelor's,Urban,49272
3,29,35,31,Analyst,Master's,Urban,60596
9,33,30,34,Data Scientist,PhD,Suburban,60716
13,42,33,27,AI Specialist,Master's,Suburban,62563
18,45,15,35,Data Scientist,Bachelor's,Suburban,84292
5,27,37,45,Data Scientist,Master's,Rural,47813
11,39,49,27,ML Engineer,Master's,Rural,63597
14,40,2,25,Analyst,Master's,Rural,67262
5,27,4,44,Analyst,Bachelor's,Urban,46301
15,37,33,35,DL Engineer,Bachelor's,Urban,67540
2,30,42,35,Analyst,Bachelor's,Suburban,55225
6,31,40,47,AI Specialist,PhD,Suburban,53308
17,43,14,28,AI Specialist,Bachelor's,Urban,77376
10,36,46,30,DL Engineer,PhD,Urban,58928
17,40,21,37,ML Engineer,PhD,Rural,76612
10,33,10,35,AI Specialist,PhD,Rural,54046
16,38,20,31,ML Engineer,PhD,Urban,77730
8,34,46,59,AI Specialist,Bachelor's,Urban,66191
7,31,44,39,Analyst,Master's,Suburban,56452
1,24,20,48,Data Scientist,Bachelor's,Rural,55252
8,36,40,49,DL Engineer,Master's,Suburban,69958
12,40,20,34,DL Engineer,PhD,Rural,73214
17,41,32,31,Data Scientist,Bachelor's,Suburban,82589
19,44,49,36,DL Engineer,PhD,Rural,79257
3,31,5,24,AI Specialist,Bachelor's,Urban,53349
5,29,45,31,Data Scientist,Master's,Rural,56735
15,43,39,20,ML Engineer,PhD,Suburban,72968
16,42,23,23,DL Engineer,PhD,Suburban,81337
1,28,27,50,DL Engineer,Master's,Urban,52446
13,35,31,33,Data Scientist,Bachelor's,Rural,64582
4,31,17,25,Analyst,PhD,Suburban,43845
10,34,9,47,Analyst,PhD,Suburban,72003
3,27,18,54,ML Engineer,Bachelor's,Suburban,59450
14,40,9,28,Analyst,Master's,Urban,63080
1,26,29,30,Data Scientist,Bachelor's,Rural,39653
9,32,25,51,DL Engineer,Master's,Urban,69048
12,35,28,25,ML Engineer,Master's,Rural,73321
9,35,17,32,DL Engineer,Master's,Urban,69493
16,44,25,27,Analyst,Bachelor's,Urban,74398
5,32,9,30,DL Engineer,PhD,Rural,59054
3,30,38,26,Analyst,Master's,Urban,50201
7,29,48,34,DL Engineer,PhD,Suburban,52658
2,28,7,57,ML Engineer,Master's,Urban,42073
17,42,4,55,Data Scientist,Master's,Urban,72888
1,24,10,53,ML Engineer,PhD,Urban,55408
3,30,40,48,Data Scientist,Bachelor's,Urban,56962
9,38,32,56,DL Engineer,Master's,Suburban,69038
6,30,22,24,Analyst,Master's,Urban,65391
19,45,1,25,ML Engineer,Master's,Rural,81105
12,40,39,21,Analyst,Master's,Urban,60351
4,31,28,22,DL Engineer,PhD,Rural,58466
12,38,17,27,DL Engineer,PhD,Rural,72434
3,29,13,39,DL Engineer,PhD,Suburban,48421
13,39,46,46,DL Engineer,Bachelor's,Suburban,82511
5,33,16,53,DL Engineer,Bachelor's,Rural,50724
8,31,6,22,Data Scientist,Bachelor's,Rural,52667
4,28,6,54,AI Specialist,Master's,Urban,49847
7,32,49,34,Analyst,Master's,Suburban,59411
2,25,48,30,ML Engineer,Master's,Rural,42400
4,30,16,31,DL Engineer,Bachelor's,Suburban,51867
5,34,33,43,ML Engineer,Master's,Rural,51605
2,24,8,52,ML Engineer,Bachelor's,Suburban,53565
7,36,34,26,ML Engineer,Master's,Urban,63906
13,36,39,32,Analyst,Master's,Urban,67546
14,42,42,51,Analyst,Bachelor's,Urban,80199
8,35,28,58,Data Scientist,Bachelor's,Rural,60278
9,36,25,49,Data Scientist,Master's,Rural,54722
18,47,22,46,Analyst,Master's,Suburban,83403
16,40,24,49,ML Engineer,Bachelor's,Rural,77736
9,35,37,33,ML Engineer,PhD,Rural,55718
7,30,41,53,Data Scientist,Bachelor's,Rural,55992
17,45,42,45,Data Scientist,PhD,Urban,84662
11,38,5,28,ML Engineer,Bachelor's,Urban,61829
14,41,24,25,Analyst,Master's,Urban,76257
15,43,16,45,Analyst,Bachelor's,Rural,65607
19,42,29,52,DL Engineer,PhD,Urban,77144
3,25,11,59,ML Engineer,Master's,Rural,45326
12,36,12,59,Analyst,PhD,Urban,71902
5,29,22,21,DL Engineer,Master's,Suburban,45198
11,33,5,25,ML Engineer,Master's,Urban,57333
9,33,35,51,Analyst,Master's,Suburban,74041
19,43,41,44,Analyst,Master's,Urban,88834
3,26,22,37,DL Engineer,Master's,Suburban,42504
5,27,37,30,DL Engineer,PhD,Urban,63993
5,29,32,22,AI Specialist,PhD,Urban,46855
8,37,39,53,ML Engineer,PhD,Rural,53648
7,36,11,21,AI Specialist,PhD,Rural,59474
2,24,32,37,AI Specialist,Master's,Urban,46056
1,27,48,24,Analyst,Bachelor's,Suburban,54209
11,38,46,22,Data Scientist,PhD,Suburban,60168
16,42,34,33,ML Engineer,PhD,Suburban,67680
9,37,7,29,AI Specialist,Bachelor's,Rural,62477
8,31,25,51,Analyst,Bachelor's,Urban,52428
7,36,31,26,DL Engineer,Master's,Suburban,60308
7,29,10,39,Analyst,Bachelor's,Rural,56121
5,33,45,48,Data Scientist,Bachelor's,Urban,60286
19,44,30,37,Data Scientist,Master's,Rural,81005
1,23,42,22,DL Engineer,Bachelor's,Urban,44316
12,34,42,33,AI Specialist,Master's,Suburban,60982
15,40,7,26,Data Scientist,Master's,Rural,70680
15,41,46,28,Analyst,Master's,Suburban,67589
16,43,28,47,Data Scientist,Master's,Suburban,74336
5,28,26,28,Data Scientist,PhD,Rural,59717
6,30,22,36,Data Scientist,Master's,Urban,53927
1,25,29,48,AI Specialist,Master's,Rural,47497
16,43,8,33,Data Scientist,PhD,Rural,67321
3,28,35,54,DL Engineer,Bachelor's,Rural,49555
19,46,1,31,Analyst,PhD,Urban,77268
13,42,28,31,AI Specialist,Master's,Urban,75719
1,23,45,21,AI Specialist,Master's,Rural,52922
